title,description,state,labels,assignee
Bug A — Autodetect Maps Scientists to Wrong Domain,"On the main branch, Dilay's autodetect maps ""List 10 scientists"" to the astronomy domain. Results include Pokémon scientists, LGBT people in science, and power engineering scientists — no real scientist names returned. Found 2026-04-22.",opened,bug
Bug B — Incorrect Entity IDs in Wikidata Sports Config,"Incorrect entity IDs mapped in configs/*.yaml files for the Wikidata sports domain, causing wrong results for sport-related queries. Found 2026-04-22.",opened,bug
Bug C — Use This Button Does Nothing When Search Bar Has Existing Text,"When the search bar already contains text, clicking the Use This button on an example card has no effect. Expected behaviour: the button should replace whatever is in the search bar with the example query. Found 2026-04-22.",opened,bug
Bug D — Piano Musician Queries Return Actors/Directors,"List 10 piano musicians returns no meaningful results. List 10 pianists returns a list of actors and directors instead of pianists. The instrument/occupation property path used in the generated SPARQL does not correctly target pianists. Fix needed: add a schema hint or few-shot example demonstrating the correct Wikidata property path for musicians by instrument (e.g. wdt:P1303 wd:Q5994 for piano combined with wdt:P31 wd:Q5). Found 2026-04-22.",opened,bug
Bug E — Domain Resets to Scientists After Selecting Example Question,"When a domain is manually selected from the dropdown and the user clicks one of the example questions, the question is correctly copied into the search box, but the UI then switches back to the scientists/default domain. Root cause: writing nl_input via on_click callback caused Streamlit to reset other widget keys including selected_domain. Fix: pending pattern — _use_example stores question and domain in _pending_nl_input/_pending_domain applied at script top before widgets instantiate. Fixed 2026-04-30.",closed,bug
Bug F — SPARQL-to-NL Explanation Is Unclear,"The natural language explanation generated in the SPARQL→NL tab does not clearly summarise what the SPARQL query does. The output is difficult to understand and does not read as a plain-English description of the query intent. Fix needed: review and improve the summarisation prompt in the SPARQL→NL pipeline. Found 2026-04-29.",opened,bug
Bug G — Example Questions Do Not Return Results for All Domains,"The example question cards shown for some domains do not return any results when executed. It has not been verified that every domain's example questions produce valid non-empty answers. Fix needed: run each example question across all domains and confirm they return expected results. Replace or fix any example that returns zero results. Found 2026-04-29.",opened,bug
Bug — Exclusion / Negation Only Works with Exact Entity ID,"Queries like ""List scientists who are not physicists"" or ""Diseases excluding cancer"" either return wrong results or fail silently, unless the user provides the exact Wikidata ID. Root cause: generated SPARQL uses FILTER(?x != ""cancer"") string comparison instead of FILTER(?x != wd:Q12078). String matching against URIs always fails so the filter has no effect. Fix needed: inject an entity-linking step before SPARQL generation to resolve entity names in FILTER/negation clauses to canonical URIs, or add a schema_hint example demonstrating the correct pattern.",opened,bug
Bug — Olympic Gold Medalists in Athletics Returns Zero Results,"Query ""List Olympic gold medalists in athletics"" returns 0 results. Likely cause: Wikidata medal data uses wdt:P166 (award received) + wd:Q319921 (Olympic gold medal) but the generated query probably uses DBpedia-style predicates that do not match the loaded dataset. Not fixed even though sport data is fixed — needs more testing.",opened,bug
Bug 1 — Fictional Entity in Results (Spider-Man),"The model returned Spider-Man as a scientist in a list of real scientists. Wikidata entity: http://www.wikidata.org/entity/Q79037. Root cause: the SPARQL query does not filter by rdf:type dbo:Scientist or equivalent — fictional characters with scientist-adjacent properties slip through. Fix needed: add type constraints to the generated query (e.g. wdt:P31 wd:Q5 to restrict to humans, or filter against known fictional entity classes). Found 2026-04-22.",opened,bug
Bug 2 — Intermittent No-Result on Valid Queries,"Who came up with unified field theory? returned no results on the first run but succeeded on a rerun with the same query. Suspected cause: non-deterministic LLM output generating a slightly different broken SPARQL on the first attempt, or a transient Wikidata endpoint timeout. Fix needed: add retry logic (1–2 retries) when the query returns 0 results; optionally surface the raw SPARQL so the user can inspect it. Found 2026-04-22.",opened,bug
Bug 3 — Model Switching Bug,"Sidebar does not let the user change the model — it defaults to the first model in the list and does not update when a different model is selected. Behaviour after switching models needs to be fully documented. Found 2026-04-22.",opened,bug
